text,intent
"mera order abhi tak nahi aya","delivery_issue"
"order delivery late ho rahi hai, kab tak pohanchega?","delivery_issue"
"tracking status mein kuch update nahi aa raha","delivery_issue"
"courier wale ne call bhi nahi kiya ab tak","delivery_issue"
"package out for delivery likha hai lekin mila nahi","delivery_issue"
"wrong address pe parcel bhej diya gaya hai","delivery_issue"
"mera parcel lost ho gaya lagta hai","delivery_issue"
"rider ne bola wapis le gaya parcel, kya scene hai?","delivery_issue"
"delivery boy ne ghar visit hi nahi kiya aur status delivered hai","delivery_issue"
"mujhe partial order mila hai, kuch items missing hain","delivery_issue"
"maine refund request ki thi, abhi tak paise nahi aaye","refund_issue"
"refund kab tak process hoga?","refund_issue"
"cancelled order ka refund nahi aya abhi tak","refund_issue"
"galat item aya hai, refund ya replacement chahiye","refund_issue"
"mujhe wallet me refund chahiye, bank me nahi","refund_issue"
"refund status pending dikhara hai, reason batao","refund_issue"
"maine return kar diya tha parcel, lekin refund nahi mila","refund_issue"
"refund initiate ho gaya tha par account me reflect nahi hua","refund_issue"
"double payment ho gayi thi, extra ka refund chahiye","refund_issue"
"kya sale items ka refund milta hai?","refund_issue"
"mera account lock ho gaya hai login nahi ho raha","account_issue"
"password bhool gaya hoon, reset link nahi aa raha","account_issue"
"otp nahi aa raha is wajah se login nahi kar paa raha","account_issue"
"mera email change karna hai account pe","account_issue"
"number update karna hai account settings me","account_issue"
"account suspend kyu ho gaya, reason batao","account_issue"
"main apna old account recover karna chahta hoon","account_issue"
"do account merge kar sakta hoon kya?","account_issue"
"login karte hi error aata hai please help","account_issue"
"mera account unauthorized access ki warning de raha hai","account_issue"
"card se payment fail ho gayi lekin amount deduct ho gaya","payment_issue"
"upi payment pending dikh rahi hai, order place hua ya nahi?","payment_issue"
"cod available hai ya sirf online payment?","payment_issue"
"order place karte waqt payment error aa gaya","payment_issue"
"kya EMI options available hain is product ke liye?","payment_issue"
"wallet balance use karke kaise pay karun?","payment_issue"
"promo code apply nahi ho raha, invalid dikha raha hai","payment_issue"
"discount coupon kaam nahi kar raha","payment_issue"
"payment gateway pe transaction stuck hai","payment_issue"
"international card se payment kar sakta hoon kya?","payment_issue"
"ye product original hai ya copy?","product_info"
"is phone ke saath warranty kitni milti hai?","product_info"
"size chart share kar dein is shirt ka","product_info"
"ye shoes waterproof hain ya nahi?","product_info"
"product ki material quality kaisi hai?","product_info"
"ye item restock kab hoga?","product_info"
"kya is laptop me backlit keyboard hai?","product_info"
"camera kitne megapixel ka hai is phone me?","product_info"
"battery backup average kitna milta hai?","product_info"
"box me kya kya accessories milengi?","product_info"
"customer care ka number kya hai?","general_query"
"aapka support timing kya hai?","general_query"
"return policy detail me bata dein","general_query"
"exchange policy kya hai aapki?","general_query"
"mujhe invoice chahiye order ka, kaise milega?","general_query"
"kya aap log gift wrapping karte hain?","general_query"
"complaint register karni hai, process batao","general_query"
